idDados,dataHora,percCPU,tempoInvativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-24 15:30:11.270800,2200.0,2200.0,71.4,47.6,233551118336,101
2,2024-09-24 15:30:13.291301,1466.0,1466.0,71.5,47.6,233551835136,101
3,2024-09-24 15:30:15.311812,1466.0,1466.0,71.5,47.6,233551167488,101
4,2024-09-24 15:30:17.344895,2200.0,2200.0,71.5,47.6,233552044032,101
5,2024-09-24 15:30:19.368874,1466.0,1466.0,71.6,47.6,233552596992,101
6,2024-09-24 15:29:50.970834,2200.0,2200.0,71.0,47.6,233551462400,101
7,2024-09-24 15:29:53.011894,2200.0,2200.0,71.0,47.6,233552179200,101
8,2024-09-24 15:29:55.042711,2200.0,2200.0,71.0,47.6,233551757312,101
9,2024-09-24 15:29:57.064276,1466.0,1466.0,71.3,47.6,233552596992,101
10,2024-09-24 15:29:59.078521,2200.0,2200.0,71.4,47.6,233552084992,101
11,2024-09-24 15:29:40.605155,2200.0,2200.0,71.2,47.6,233549168640,101
12,2024-09-24 15:29:42.651093,2200.0,2200.0,71.1,47.6,233549971456,101
13,2024-09-24 15:29:44.714008,2200.0,2200.0,71.1,47.6,233549602816,101
14,2024-09-24 15:29:46.733667,1466.0,1466.0,71.2,47.6,233550819328,101
15,2024-09-24 15:29:48.893313,1466.0,1466.0,71.1,47.6,233550671872,101
16,2024-10-17 15:29:48.893313,1466.0,1466.0,71.1,47.6,233550671872,101
17,2024-10-18 15:29:48.893313,1466.0,1466.0,71.1,47.6,233550671872,101
18,2024-10-19 15:29:48.893313,1466.0,1466.0,71.1,47.6,233550671872,101
